Training Details:
Episode 351: Reward -40.01, Steps 1440, Epsilon 0.34
Episode 352: Reward -40.88, Steps 1440, Epsilon 0.34
Episode 353: Reward -39.07, Steps 1440, Epsilon 0.34
Episode 354: Reward -41.52, Steps 1440, Epsilon 0.34
Episode 355: Reward -39.57, Steps 1440, Epsilon 0.34
Episode 356: Reward -39.17, Steps 1440, Epsilon 0.34
Episode 357: Reward -39.04, Steps 1440, Epsilon 0.34
Episode 358: Reward -40.94, Steps 1440, Epsilon 0.34
Episode 359: Reward -38.14, Steps 1440, Epsilon 0.34
Episode 360: Reward -40.46, Steps 1440, Epsilon 0.34
Episode 361: Reward -39.09, Steps 1440, Epsilon 0.34
Episode 362: Reward -38.26, Steps 1440, Epsilon 0.33
Episode 363: Reward -40.00, Steps 1440, Epsilon 0.33
Episode 364: Reward -38.07, Steps 1440, Epsilon 0.33
Episode 365: Reward -38.50, Steps 1440, Epsilon 0.33
Episode 366: Reward -37.54, Steps 1440, Epsilon 0.33
Episode 367: Reward -37.24, Steps 1440, Epsilon 0.33
Episode 368: Reward -40.05, Steps 1440, Epsilon 0.33
Episode 369: Reward -38.49, Steps 1440, Epsilon 0.33
Episode 370: Reward -37.88, Steps 1440, Epsilon 0.33
Episode 371: Reward -38.06, Steps 1440, Epsilon 0.33
Episode 372: Reward -35.96, Steps 1440, Epsilon 0.32
Episode 373: Reward -35.94, Steps 1440, Epsilon 0.32
Episode 374: Reward -37.03, Steps 1440, Epsilon 0.32
Episode 375: Reward -39.03, Steps 1440, Epsilon 0.32
Episode 376: Reward -38.40, Steps 1440, Epsilon 0.32
Episode 377: Reward -38.88, Steps 1440, Epsilon 0.32
Episode 378: Reward -39.27, Steps 1440, Epsilon 0.32
Episode 379: Reward -36.43, Steps 1440, Epsilon 0.32
Episode 380: Reward -35.40, Steps 1440, Epsilon 0.32
Episode 381: Reward -37.66, Steps 1440, Epsilon 0.32
Episode 382: Reward -38.59, Steps 1440, Epsilon 0.32
Episode 383: Reward -38.35, Steps 1440, Epsilon 0.32
Episode 384: Reward -34.31, Steps 1440, Epsilon 0.31
Episode 385: Reward -37.58, Steps 1440, Epsilon 0.31
Episode 386: Reward -35.89, Steps 1440, Epsilon 0.31
Episode 387: Reward -37.29, Steps 1440, Epsilon 0.31
