Training Details:
Episode 435: Reward -36.14, Steps 1440, Epsilon 0.27
Episode 436: Reward -37.40, Steps 1440, Epsilon 0.27
Episode 437: Reward -35.56, Steps 1440, Epsilon 0.27
Episode 438: Reward -34.77, Steps 1440, Epsilon 0.27
Episode 439: Reward -34.45, Steps 1440, Epsilon 0.27
Episode 440: Reward -34.97, Steps 1440, Epsilon 0.27
Episode 441: Reward -33.60, Steps 1440, Epsilon 0.27
Episode 442: Reward -30.19, Steps 1440, Epsilon 0.27
Episode 443: Reward -33.46, Steps 1440, Epsilon 0.27
Episode 444: Reward -35.61, Steps 1440, Epsilon 0.27
Episode 445: Reward -34.53, Steps 1440, Epsilon 0.27
Episode 446: Reward -32.19, Steps 1440, Epsilon 0.26
Episode 447: Reward -35.54, Steps 1440, Epsilon 0.26
Episode 448: Reward -34.64, Steps 1440, Epsilon 0.26
Episode 449: Reward -34.47, Steps 1440, Epsilon 0.26
